customer_id,transaction_date,transaction_value
C100317,2023-05-10,37.7
C100847,2024-09-08,69.96
C101342,2023-12-17,32.44
C100217,2023-08-31,5.1
C100309,2023-05-04,95.37
C101584,2024-08-31,43.63
C101435,2024-01-14,90.46
C101510,2023-12-09,107.77
C101368,2024-12-14,125.12
C101049,2023-01-12,12.89
C100575,2024-07-19,16.01
C101559,2023-06-02,28.5
C100439,2025-01-20,135.24
C100128,2025-04-22,94.97
C101303,2025-05-02,53.43
C100114,2024-09-15,18.51
C101649,2024-09-02,43.37
C100530,2024-01-09,11.78
C100532,2025-09-10,34.9
C100430,2024-07-04,11.38
C100860,2025-03-13,61.53
C100392,2024-05-31,80.88
C100981,2024-10-29,72.51
C100109,2025-07-22,70.11
C101526,2023-01-28,1.0
C100263,2025-01-21,269.32
C101945,2023-04-28,42.25
C101812,2024-03-05,1.0
C100345,2025-03-01,1.98
C101977,2025-09-04,3.33
C101338,2025-09-03,34.56
C101800,2025-06-25,36.54
C101108,2025-08-16,28.33
C100869,2023-07-09,178.61
C101594,2024-03-02,23.76
C101679,2025-07-30,9.23
C101918,2025-06-10,55.05
C101164,2023-09-13,85.48
C100943,2025-10-18,13.22
C100623,2023-09-09,65.25
C101401,2023-04-12,30.41
C101531,2023-08-25,33.26
C100511,2023-08-30,119.44
C101107,2023-10-06,13.2
C100454,2024-05-28,58.07
C101390,2024-08-27,16.48
C100386,2024-03-15,52.82
C101596,2024-11-28,27.58
C101261,2023-10-18,55.36
C101423,2023-11-06,99.84
C101785,2023-12-01,43.55
C100715,2024-01-06,134.74
C100052,2025-06-14,207.02
C101217,2024-05-30,16.63
C101686,2025-07-16,115.94
C100319,2024-08-30,32.94
C101185,2023-09-06,101.85
C100683,2023-05-21,58.17
C100403,2024-02-23,16.46
C101236,2024-06-11,96.51
C100890,2023-11-04,9.1
C100159,2025-03-23,3.58
C101240,2023-12-04,24.62
C101747,2023-06-26,20.44
C101920,2025-09-08,210.82
C100449,2023-09-17,35.16
C100542,2025-08-18,66.71
C100824,2024-03-13,114.81
C100718,2024-08-28,4.7
C101188,2024-12-31,10.98
C100802,2023-02-07,13.96
C101128,2025-05-27,36.37
C100962,2023-03-06,146.36
C101047,2023-04-16,15.1
C100483,2024-05-02,38.46
C100025,2025-08-31,64.68
C101692,2024-09-08,15.46
C101672,2025-02-26,18.9
C101154,2025-10-03,66.76
C100764,2024-10-21,13.97
C100985,2023-08-02,78.98
C100644,2023-12-04,30.96
C100671,2024-05-18,1.0
C100747,2025-01-02,19.78
C101637,2025-05-19,17.46
C100466,2025-07-20,35.89
C101722,2024-04-11,52.89
C101702,2025-03-11,54.46
C100595,2023-03-18,17.05
C100762,2025-02-23,23.83
C101054,2025-01-19,131.18
C100499,2025-08-17,82.35
C101448,2023-08-13,86.81
C101694,2024-08-23,20.63
C101925,2023-02-12,96.03
C101223,2024-05-25,167.31
C100532,2023-08-14,1.0
C101176,2023-04-10,6.42
C100348,2024-04-04,38.58
C101490,2024-11-21,27.31
C101084,2024-10-19,19.82
C100979,2023-08-24,117.65
C101639,2024-12-29,62.36
C101233,2024-06-28,67.98
C100621,2024-07-05,63.43
C101607,2024-12-28,18.46
C101024,2024-07-04,34.51
C100090,2023-10-28,195.53
C100325,2025-06-10,72.22
C101033,2024-05-02,3.58
C101229,2025-10-16,7.99
C100163,2024-10-14,19.62
C100833,2024-06-12,65.33
C100486,2023-04-02,3.0
C100641,2023-01-11,58.42
C101964,2024-01-03,5.08
C100252,2023-05-10,43.58
C100312,2023-02-08,63.15
C101518,2024-02-10,55.08
C101090,2024-04-03,71.57
C100256,2024-11-12,27.18
C101778,2025-02-12,7.86
C100315,2024-06-27,1.41
C101704,2025-03-22,54.23
C100657,2025-06-08,51.68
C101122,2025-07-29,5.77
C101586,2025-06-19,1.54
C100703,2024-12-23,11.47
C100551,2024-11-26,41.41
C100321,2023-01-10,3.92
C100092,2024-07-09,44.62
C100144,2024-06-01,63.37
C100550,2024-08-06,104.62
C101685,2025-09-05,98.51
C101006,2023-03-13,45.3
C101376,2023-04-15,12.46
C101953,2024-08-11,183.53
C101579,2023-06-22,30.05
C100731,2024-08-31,25.49
C101295,2023-11-29,3.84
C100710,2023-11-09,1.81
C100456,2024-12-17,60.86
C100014,2024-09-30,4.46
C101243,2025-01-29,3.88
C101643,2023-04-18,30.41
C101917,2023-04-28,1.82
C100244,2025-09-18,62.79
C101415,2025-04-22,16.72
C101621,2024-02-14,36.92
C100043,2024-11-06,1.37
C100344,2024-12-21,156.16
C101118,2024-05-24,71.05
C101308,2023-07-30,43.03
C100870,2025-09-08,30.68
C100454,2025-08-27,29.25
C101799,2025-05-09,111.69
C101897,2023-02-16,8.59
C100753,2023-02-21,111.52
C100455,2023-12-04,38.49
C100966,2024-04-24,94.76
C100226,2025-02-09,113.65
C101401,2024-06-28,36.19
C101756,2025-03-30,27.59
C100943,2025-06-07,20.73
C101795,2025-03-16,1.56
C101888,2024-08-21,49.81
C101488,2024-11-20,6.27
C100125,2024-11-30,13.85
C101947,2025-05-18,67.94
C100557,2025-01-14,112.65
C101719,2023-03-04,9.04
C101366,2023-03-20,8.71
C100643,2023-10-23,10.8
C100265,2025-06-04,7.51
C101390,2025-07-12,60.42
C100936,2023-10-21,4.61
C100261,2025-02-19,111.89
C100511,2023-02-24,61.77
C100322,2024-08-23,1.0
C101331,2023-06-29,45.96
C101373,2024-10-06,14.0
C101161,2023-03-09,80.26
C100289,2023-01-08,27.47
C100411,2025-03-24,4.47
C100389,2023-07-31,104.6
C101202,2024-10-01,7.11
C101736,2023-09-12,133.07
C101602,2024-06-11,16.23
C101350,2023-12-10,30.35
C100739,2024-01-11,51.84
C101314,2025-05-08,30.12
C100851,2024-05-06,168.61
C100440,2024-09-23,1.0
C101833,2025-04-22,8.7
C101795,2024-09-19,2.9
C100759,2024-12-19,1.16
C101314,2023-04-06,40.29
C100742,2023-04-13,82.38
C101072,2025-10-01,10.86
C100994,2025-09-15,58.45
C101379,2024-03-26,69.19
C101573,2023-11-21,5.86
C100236,2023-03-14,120.08
C101966,2023-07-02,2.69
C100053,2023-04-02,27.03
C101548,2023-03-09,139.53
C101938,2025-09-23,164.65
C101130,2025-09-25,4.48
C100299,2025-08-31,18.2
C101391,2024-04-21,80.83
C101743,2024-03-27,196.41
C100105,2024-10-12,9.07
C100005,2024-10-14,18.87
C100945,2025-07-06,57.81
C100707,2023-01-23,49.49
C100718,2025-10-04,9.97
C101728,2024-12-04,51.09
C101017,2023-10-16,49.13
C101825,2024-07-19,4.62
C100858,2023-12-31,8.36
C101606,2025-04-02,20.79
C101167,2023-09-21,22.44
C101191,2025-07-24,2.89
C100015,2023-01-26,164.37
C101533,2023-08-11,75.71
C101365,2025-06-30,85.18
C100434,2023-02-25,36.34
C100070,2023-02-28,37.88
C101799,2025-06-16,17.58
C101401,2023-12-10,62.86
C100693,2024-10-30,33.37
C100240,2023-09-01,17.83
C101115,2023-06-08,38.84
C101858,2024-03-06,40.46
C101448,2023-08-03,128.91
C100663,2024-03-29,8.45
C101221,2023-05-24,4.43
C100733,2023-04-06,78.21
C101500,2023-10-01,13.11
C101780,2023-09-04,18.99
C100622,2023-10-25,13.3
C101071,2023-02-06,183.92
C101561,2024-10-17,28.22
C100857,2025-01-01,78.65
C101255,2024-04-04,10.36
C101235,2023-05-16,46.78
C101237,2025-09-02,60.04
C100561,2023-11-18,29.22
C101204,2024-09-30,18.62
C100696,2024-02-06,27.25
C101878,2023-03-11,35.47
C101723,2023-06-26,101.32
C101962,2024-11-22,137.78
C101747,2024-01-09,20.01
C100294,2025-08-17,87.3
C101754,2024-05-29,1.43
C100535,2023-03-09,48.67
C100027,2025-03-02,36.72
C100431,2023-12-12,44.03
C101208,2025-05-24,10.88
C100938,2025-07-06,77.59
C100652,2023-08-29,5.29
C101020,2023-01-12,17.9
C100509,2024-01-29,28.31
C100899,2024-03-20,117.88
C100801,2023-10-26,78.4
C100790,2025-10-11,11.65
C100572,2023-06-05,52.09
C101714,2023-09-24,19.46
C101800,2023-04-06,32.04
C100117,2024-12-06,23.46
C101363,2025-08-27,19.11
C101610,2023-11-30,56.91
C100577,2025-08-29,31.17
C100603,2025-08-11,61.4
C101002,2025-08-15,22.93
C100248,2023-10-11,40.84
C101621,2023-04-29,11.98
C100836,2025-06-30,29.83
C101639,2025-10-04,23.26
C100840,2025-02-03,49.81
C100535,2024-12-27,7.22
C100364,2024-10-11,5.24
C101431,2023-09-21,50.83
C100513,2024-06-18,33.43
C100307,2024-05-23,6.58
C100072,2023-02-19,188.99
C100803,2024-12-25,138.6
C101962,2024-05-01,24.99
C101198,2025-06-14,36.95
C100445,2024-10-15,40.31
C100461,2024-06-28,81.89
C101696,2023-03-21,289.13
C100999,2024-02-22,118.37
C101683,2024-07-24,107.49
C100068,2025-05-25,33.89
C101469,2023-07-08,2.11
C101038,2025-07-21,93.68
C100818,2025-09-01,43.51
C101408,2024-05-21,19.53
C100041,2024-02-29,4.46
C100997,2023-03-21,25.63
C101902,2024-07-06,64.48
C101258,2025-10-02,50.82
C100058,2025-02-16,1.24
C100162,2025-01-04,15.8
C100950,2023-06-27,46.55
C101306,2023-12-10,93.77
C100364,2024-01-18,33.99
C100686,2023-10-27,133.7
C101424,2023-05-01,12.8
C101923,2023-03-07,149.05
C100342,2025-04-01,95.35
C101361,2023-06-23,4.75
C100740,2024-10-19,63.11
C100445,2025-02-12,52.31
C101848,2024-11-24,2.41
C101408,2024-04-23,196.35
C101610,2023-01-20,1.09
C101492,2025-06-23,47.78
C101395,2025-03-31,17.71
C101702,2023-01-06,20.53
C101300,2025-09-11,139.1
C101703,2023-10-30,26.08
C101541,2025-05-29,116.28
C101417,2024-08-01,2.51
C101958,2024-03-26,71.65
C100427,2023-10-04,73.14
C101714,2025-01-20,237.42
C100935,2025-07-07,45.25
C101842,2024-02-24,90.63
C101165,2023-05-09,7.49
C100166,2025-02-20,1.99
C100158,2024-07-08,59.61
C100580,2023-11-11,32.24
C100347,2024-05-31,100.36
C101249,2023-10-15,47.09
C100120,2025-02-19,89.68
C101161,2023-07-03,56.2
C101193,2024-09-11,169.24
C101325,2023-08-31,25.1
C101641,2024-03-03,15.03
C101194,2025-08-23,79.39
C101895,2023-07-02,15.36
C101066,2023-03-08,4.27
C101967,2024-08-27,70.02
C100399,2023-12-22,180.68
C101942,2024-03-24,146.51
C101111,2023-12-07,168.9
C100200,2023-05-27,62.71
C100244,2024-01-01,50.36
C100798,2023-10-24,58.44
C101604,2023-08-13,36.09
C101201,2024-10-11,3.76
C100781,2023-07-01,54.25
C100750,2025-06-01,5.14
C100437,2023-05-25,63.05
C101554,2023-01-20,1.0
C100906,2025-03-07,77.34
C101288,2023-02-23,25.26
C101058,2024-08-10,1.91
C101377,2023-07-24,87.84
C101303,2025-05-14,23.74
C101840,2024-04-12,13.34
C101103,2024-02-14,72.38
C100627,2023-02-25,53.45
C101925,2024-12-24,23.82
C100833,2023-02-11,9.12
C101042,2025-06-21,13.71
C100142,2023-02-13,15.42
C100389,2024-09-12,58.86
C101185,2025-02-24,42.48
C101203,2023-09-06,23.64
C101168,2023-09-02,33.49
C101066,2025-08-03,58.97
C101762,2024-10-18,72.87
C100232,2024-01-20,48.55
C101213,2023-04-05,59.02
C100988,2025-01-10,162.06
C101931,2024-06-23,144.52
C101981,2023-01-11,80.92
C101121,2024-06-05,44.08
C100161,2025-02-24,43.82
C101538,2023-02-23,159.72
C101090,2025-07-29,107.64
C100145,2025-03-14,16.83
C100297,2024-09-30,22.01
C101769,2025-02-07,41.75
C100991,2024-08-27,74.89
C101964,2024-04-02,46.72
C101885,2024-11-26,47.19
C100219,2025-07-18,238.58
C100981,2025-09-20,198.81
C100067,2024-05-13,103.35
C100155,2023-12-29,88.17
C100736,2025-05-06,46.86
C101448,2025-08-11,54.57
C100890,2023-04-18,63.07
C100199,2025-09-16,2.59
C101595,2023-07-05,135.02
C100704,2025-07-27,17.68
C101556,2024-04-16,42.94
C101713,2023-01-04,58.97
C101259,2025-06-12,51.35
C101241,2024-10-31,52.28
C101951,2023-10-21,24.29
C100731,2025-02-07,10.92
C101940,2024-09-04,7.96
C100448,2023-08-06,7.85
C101067,2024-10-09,21.6
C101425,2025-05-06,1.0
C101244,2025-04-16,12.59
C101412,2025-05-31,26.63
C101784,2024-06-25,2.24
C101061,2024-09-24,37.46
C100515,2024-05-19,9.42
C100605,2025-09-21,28.26
C100791,2025-02-22,70.85
C101119,2023-09-16,30.19
C100987,2024-01-29,6.16
C100696,2024-04-11,68.87
C101262,2023-05-06,43.94
C100843,2025-01-12,27.11
C100644,2023-07-25,74.42
C100605,2024-08-25,11.22
C101915,2025-04-05,27.6
C101703,2025-07-15,23.93
C100183,2023-10-23,33.94
C100330,2025-04-24,97.26
C101318,2024-03-04,11.56
C100027,2024-09-13,12.98
C101518,2024-06-11,6.32
C101489,2023-11-04,20.45
C100533,2025-05-08,3.46
C100198,2024-10-02,68.73
C101370,2024-09-10,248.27
C100152,2023-10-05,14.22
C101919,2024-04-21,104.4
C101475,2025-03-07,40.1
C100068,2024-04-01,36.16
C101104,2024-04-10,30.81
C100299,2023-04-20,13.65
C101014,2024-07-19,93.62
C101161,2025-09-29,63.16
C100210,2024-08-24,88.14
C101294,2023-03-14,1.14
C100196,2025-06-06,17.09
C100009,2023-12-14,21.48
C101395,2024-05-20,77.52
C100456,2024-05-23,58.55
C100874,2024-06-23,75.89
C101889,2025-04-19,7.65
C100512,2024-05-18,102.97
C100423,2025-08-08,134.51
C100870,2025-06-20,8.87
C100123,2024-05-03,58.19
C100821,2023-06-29,76.31
C100304,2023-09-19,33.56
C100056,2025-04-25,21.37
C101526,2025-07-16,24.86
C100351,2023-01-10,11.24
C100743,2024-07-28,100.57
C101440,2024-09-30,25.43
C101677,2025-06-07,6.6
C100667,2023-04-15,21.31
C101633,2025-02-01,42.77
C101561,2024-05-21,3.49
C101157,2024-07-31,20.03
C100962,2024-06-26,202.19
C100178,2024-06-07,47.74
C101877,2023-06-15,14.64
C101837,2025-06-25,223.43
C101054,2024-04-17,3.91
C101873,2025-08-11,18.31
C100001,2023-02-17,46.77
C100883,2023-12-28,39.6
C101306,2025-06-11,61.77
C101985,2024-04-03,100.28
C101366,2025-02-20,42.65
C101389,2023-05-08,60.05
C100696,2024-07-08,156.87
C100589,2024-08-02,4.03
C100945,2024-09-14,17.23
C100771,2025-04-18,39.29
C100608,2024-11-30,141.27
C101416,2023-03-20,70.06
C100977,2023-05-02,104.9
C100174,2024-05-16,51.75
C100194,2023-08-05,69.81
C100293,2023-05-31,8.7
C100824,2023-03-05,127.63
C100368,2023-08-19,14.86
C101467,2023-08-21,49.06
C101653,2024-09-11,73.44
C101198,2024-02-24,16.67
C101658,2025-05-14,10.75
C101420,2025-09-18,6.64
C101302,2023-03-02,51.96
C101658,2023-05-26,19.57
C100399,2023-02-12,61.05
C101965,2023-12-29,23.85
C100813,2025-01-01,47.34
C100778,2024-04-15,11.15
C100618,2023-04-14,80.95
C100460,2024-11-21,38.99
C101813,2024-06-19,48.59
C101875,2024-12-13,129.08
C100294,2025-02-27,83.28
C100589,2023-05-13,13.7
C100852,2025-07-31,37.79
C101022,2023-01-11,18.2
C100805,2023-01-18,24.74
C101476,2025-04-20,16.29
C100549,2025-10-11,15.91
C101514,2025-08-29,15.91
C100350,2024-05-11,52.22
C100802,2023-07-18,34.89
C100364,2023-04-02,28.19
C100314,2023-09-04,31.73
C100770,2023-08-31,74.4
C101693,2024-05-25,120.17
C100738,2023-08-13,14.91
C100759,2025-03-28,1.78
C101978,2024-08-18,38.44
C101735,2025-04-12,9.61
C101758,2025-03-19,83.13
C100177,2024-04-24,31.4
C100111,2023-03-07,89.0
C100605,2023-08-09,27.21
C101054,2024-12-17,28.91
C101773,2025-03-05,117.52
C101496,2025-10-19,1.77
C100202,2025-09-08,41.71
C100793,2023-09-12,13.95
C100915,2024-05-18,127.47
C101201,2024-10-16,23.97
C100781,2023-08-25,17.22
C100856,2024-05-06,136.19
C101375,2023-02-16,31.53
C101722,2023-01-05,19.07
C101695,2024-12-22,3.79
C101984,2025-05-06,43.84
C101683,2024-07-25,1.0
C100391,2023-02-25,30.55
C101132,2023-09-03,58.04
C101605,2025-07-10,2.08
C101801,2024-01-25,9.95
C100454,2025-03-22,43.74
C100206,2024-10-18,31.38
C101604,2023-09-19,11.3
C100226,2025-02-02,13.21
C100086,2024-04-10,93.01
C100219,2024-03-02,39.77
C101519,2024-05-10,32.89
C100777,2025-10-18,5.21
C100493,2024-10-12,21.84
C101282,2023-03-29,61.05
C100253,2024-04-25,8.01
C101195,2023-02-26,25.61
C100540,2023-11-15,19.28
C101239,2024-04-10,23.24
C100789,2024-08-09,63.15
C101738,2023-09-25,50.34
C100708,2024-04-14,19.62
C101609,2023-06-13,112.6
C100923,2023-07-04,35.71
C100499,2024-08-20,13.07
C101280,2024-07-01,15.1
C100109,2023-04-24,27.46
C101252,2023-03-25,55.47
C101781,2025-04-04,26.33
C100691,2023-09-22,16.75
C101268,2024-05-01,110.78
C101257,2024-09-23,84.37
C100111,2023-04-07,120.19
C101578,2023-11-08,40.2
C100851,2025-03-02,48.71
C101443,2024-11-03,28.37
C101286,2023-09-16,5.32
C101204,2024-03-27,22.31
C100232,2023-05-04,3.5
C100420,2023-08-22,1.0
C100230,2024-07-11,186.03
C101320,2023-10-23,82.86
C101632,2023-10-08,1.37
C100659,2024-08-04,114.8
C101337,2023-12-06,46.19
C100573,2024-11-26,32.01
C101451,2025-07-02,12.33
C100218,2025-03-30,20.34
C100524,2024-02-24,14.65
C100255,2023-10-17,18.16
C101933,2025-07-08,104.3
C100468,2024-07-12,38.0
C101233,2023-01-14,115.35
C100759,2025-06-05,16.8
C101993,2024-10-17,36.12
C101403,2024-11-01,6.01
C101243,2023-12-30,39.29
C101652,2025-02-05,100.61
C101617,2024-08-31,44.15
C100057,2025-05-02,35.41
C100791,2025-06-16,30.79
C101962,2023-01-18,10.92
C100291,2023-05-13,23.57
C101114,2023-08-28,18.98
C100393,2023-09-08,57.06
C100979,2024-12-27,38.76
C101606,2025-07-16,2.9
C101286,2025-06-05,1.33
C100355,2023-04-10,32.32
C100185,2023-08-21,47.59
C100635,2023-06-21,191.88
C101113,2024-02-11,58.6
C101925,2025-01-19,71.83
C100906,2024-01-26,89.0
C100697,2024-10-24,22.02
C100452,2024-06-08,66.2
C101862,2025-05-12,56.97
C100957,2024-03-13,3.75
C101191,2025-09-09,1.95
C100760,2023-01-23,56.9
C101612,2023-04-01,86.36
C100541,2024-12-20,40.72
C100997,2024-08-31,16.92
C100256,2024-02-14,2.96
C101127,2024-04-15,44.34
C101740,2025-04-26,6.92
C101928,2023-11-12,35.55
C101294,2023-06-14,90.59
C101627,2025-07-15,138.63
C100602,2025-10-13,5.43
C100604,2024-09-06,5.03
C100660,2023-02-26,9.72
C101532,2024-01-06,15.04
C101167,2023-08-12,111.61
C100141,2023-08-18,54.39
C100079,2023-08-21,21.92
C101192,2023-05-09,3.37
C100257,2024-12-10,54.14
C101495,2025-05-22,10.22
C100372,2023-07-16,3.16
C101486,2023-10-22,202.94
C101214,2024-06-26,52.11
C101022,2025-03-30,64.62
C101602,2024-03-02,57.14
C101563,2023-08-06,58.88
C100220,2025-01-30,1.28
C101258,2024-10-02,4.59
C100651,2025-08-07,1.64
C100967,2023-08-25,26.76
C100414,2024-05-03,15.78
C100529,2023-10-20,10.87
C101097,2024-08-23,17.94
C101201,2023-01-12,32.27
C100080,2025-02-14,21.35
C100569,2025-02-19,32.94
C100136,2025-09-02,263.14
C101807,2025-10-10,51.6
C100603,2024-11-19,24.65
C101090,2024-02-15,124.88
C100948,2025-02-08,36.21
C101260,2023-10-10,157.96
C100840,2025-01-18,88.22
C101574,2024-10-26,71.84
C101593,2025-01-09,62.91
C100920,2024-02-01,81.19
C100204,2024-10-10,6.87
C101660,2023-06-19,48.78
C101839,2023-03-18,44.91
C100487,2025-01-05,56.94
C100753,2024-11-01,3.96
C101850,2023-02-21,87.12
C100912,2024-12-03,185.42
C101513,2025-09-02,92.85
C101864,2023-10-10,50.68
C101855,2025-05-01,84.75
C100392,2025-05-19,61.22
C100239,2025-03-05,20.97
C101923,2023-09-25,50.89
C101359,2023-03-30,1.0
C100310,2024-03-18,169.95
C100665,2025-08-11,40.12
C101838,2024-02-08,74.28
C100508,2023-01-13,44.32
C100242,2023-06-15,168.82
C101334,2024-12-17,21.17
C100448,2024-08-08,153.01
C101975,2023-08-18,55.45
C100174,2024-01-17,54.19
C100897,2023-03-29,45.49
C100322,2024-01-11,2.72
C100965,2024-09-10,46.54
C101087,2025-06-14,8.44
C100836,2024-12-22,7.35
C101484,2024-09-18,58.17
C100057,2024-10-09,15.04
C101388,2023-12-04,31.24
C101196,2023-07-27,82.56
C100258,2025-06-03,32.75
C100433,2023-12-31,16.71
C101013,2024-12-25,43.19
C101360,2024-02-24,10.01
C101063,2024-10-18,125.91
C101568,2023-12-27,109.15
C100044,2024-02-24,40.15
C100405,2023-11-08,126.96
C100604,2024-08-27,21.12
C100045,2025-07-26,6.26
C101917,2024-01-07,77.51
C101083,2023-08-25,193.88
C100053,2024-03-14,24.25
C100089,2025-02-27,49.0
C100528,2025-09-05,10.72
C101904,2023-07-20,54.04
C101376,2024-01-06,54.39
C101183,2024-01-12,8.87
C100070,2025-06-08,30.32
C100148,2025-09-16,14.44
C101885,2024-05-15,69.99
C100894,2024-09-04,9.43
C100301,2023-09-29,55.75
C101271,2025-08-18,36.46
C101983,2025-07-05,8.95
C100737,2023-07-30,59.43
C101900,2024-04-06,94.62
C101242,2025-01-10,5.64
C100245,2025-05-10,40.0
C101671,2025-01-06,68.61
C101094,2024-06-11,101.22
C100517,2024-06-21,42.44
C101621,2023-11-08,22.52
C100848,2025-03-16,15.72
C100235,2023-07-11,40.55
C101510,2023-11-02,51.63
C101460,2024-06-08,46.31
C101336,2025-08-25,1.17
C100952,2024-09-08,49.6
C101072,2025-02-28,195.76
C101758,2023-03-13,18.83
C101493,2025-05-25,43.15
C101438,2025-08-20,18.41
C101737,2025-04-25,24.63
C101265,2024-01-04,138.22
C101221,2025-07-15,1.5
C100037,2023-12-10,7.5
C100470,2024-10-15,51.82
C100561,2023-02-17,145.19
C100786,2023-06-26,14.53
C100604,2024-04-26,14.81
C100104,2025-03-23,43.09
C101110,2023-03-17,105.81
C101760,2023-09-09,152.71
C101071,2023-05-11,6.13
C100842,2024-09-22,59.7
C101617,2024-10-23,8.7
C100271,2023-06-17,5.51
C101791,2024-02-07,178.3
C101921,2024-03-14,28.39
C101966,2023-01-08,72.97
C100951,2024-05-09,58.75
C101019,2024-12-18,287.57
C100077,2023-12-29,13.52
C100010,2024-12-10,52.77
C101020,2023-06-14,35.48
C101816,2024-03-14,32.81
C101711,2023-11-20,73.96
C100236,2024-10-12,6.61
C101651,2024-09-23,20.76
C100817,2025-03-04,25.79
C101133,2024-12-04,13.64
C100261,2024-05-03,24.65
C101586,2025-02-18,96.45
C101752,2025-01-04,18.93
C101096,2024-05-23,54.42
C100570,2024-01-21,7.6
C101189,2023-05-03,1.75
C101264,2024-03-09,49.01
C100492,2023-03-10,186.65
C101284,2024-12-25,61.33
C101532,2023-01-28,169.62
C100006,2023-01-08,35.74
C100809,2023-06-10,58.98
C101938,2024-10-01,7.89
C100200,2023-10-28,37.27
C100162,2024-11-01,109.97
C100642,2023-07-01,41.11
C100934,2024-04-06,127.15
C101170,2023-10-28,34.1
C100515,2024-08-28,47.1
C101506,2024-01-21,54.86
C101112,2023-04-06,16.4
C100205,2023-02-28,5.57
C100727,2024-08-07,107.79
C100571,2024-08-31,61.58
C100528,2025-06-23,82.9
C101539,2024-10-16,34.24
C101977,2023-10-20,22.95
C100150,2024-03-20,14.97
C101306,2025-03-04,51.75
C100596,2024-04-10,45.19
C100378,2025-06-11,20.95
C101995,2024-06-16,66.97
C101135,2024-01-23,68.69
C100911,2023-03-29,15.18
C100879,2025-04-22,51.88
C100872,2024-09-20,31.11
C100362,2024-01-07,3.44
C101991,2025-01-16,120.14
C101825,2023-02-20,1.04
C101051,2025-03-05,96.35
C101118,2023-07-25,115.24
C100487,2023-01-24,23.34
C101139,2023-09-07,5.26
C100723,2024-04-28,15.66
C101165,2023-07-14,100.62
C100656,2023-10-31,19.74
C100682,2023-06-29,14.2
C100875,2024-03-14,43.2
C101084,2024-11-14,15.47
C101053,2024-12-13,52.9
C101312,2024-12-08,1.85
C100253,2023-05-14,11.38
C101073,2025-02-22,5.64
C100717,2024-06-30,53.87
C100032,2024-08-24,68.41
C101435,2024-04-23,19.4
C101304,2023-06-30,34.52
C101184,2023-11-06,54.06
C100204,2023-07-11,1.3
C101440,2023-04-09,79.7
C100794,2023-02-15,39.06
C100554,2024-09-29,6.86
C101570,2025-06-26,10.44
C101649,2025-05-19,161.66
C100613,2024-11-02,39.05
C100348,2024-01-28,65.38
C100237,2023-07-24,16.72
C100606,2024-11-07,19.55
C101889,2025-01-11,1.0
C100868,2023-06-24,18.65
C100967,2023-02-03,7.3
C100131,2023-05-09,1.0
C100459,2025-01-13,11.76
C100027,2024-02-18,7.19
C100480,2023-07-22,42.84
C100041,2025-07-09,11.48
C100795,2023-04-17,76.92
C101865,2023-02-19,43.79
C101825,2024-06-14,3.57
C100192,2023-01-30,43.76
C100757,2024-04-23,114.06
C100422,2023-04-28,59.34
C101395,2023-02-14,1.5
C101735,2024-08-27,42.85
C100548,2025-10-18,19.99
C101161,2024-07-01,93.05
C100233,2023-02-25,10.53
C101184,2024-08-29,23.3
C100570,2023-02-13,45.59
C100087,2025-05-11,1.96
C101129,2025-09-25,59.39
C100033,2023-12-31,215.31
C100250,2025-05-05,6.28
