user_id,signup_date,active_date
user_0170,2024-01-24,2024-01-20
user_0031,2024-05-26,2024-09-12
user_0057,2024-01-31,2024-02-26
user_0009,2024-03-17,2024-05-10
user_0183,2024-06-27,2024-06-09
user_0167,2024-02-13,2024-04-26
user_0212,2024-05-21,2024-05-15
user_0072,2024-06-19,2024-08-15
user_0159,2024-02-11,2024-03-18
user_0174,2024-05-22,2024-05-24
user_0120,2024-01-28,2024-01-25
user_0137,2024-01-13,2024-02-07
user_0204,2024-01-31,2024-02-02
user_0036,2024-04-09,2024-05-18
user_0157,2024-03-02,2024-07-27
user_0238,2024-02-14,2024-02-22
user_0098,2024-04-05,2024-04-15
user_0029,2024-06-02,2024-07-09
user_0161,2024-01-13,2024-06-28
user_0236,2024-01-22,2024-03-26
user_0003,2024-02-19,2024-02-04
user_0246,2024-05-09,2024-07-26
user_0003,2024-02-19,2024-08-05
user_0209,2024-03-09,2024-04-23
user_0233,2024-04-17,2024-05-11
user_0140,2024-01-24,2024-03-01
user_0075,2024-04-28,2024-04-18
user_0178,2024-03-19,2024-05-14
user_0173,2024-03-26,2024-05-19
user_0182,2024-05-01,2024-06-03
user_0129,2024-06-08,2024-06-18
user_0070,2024-02-18,2024-02-25
user_0014,2024-02-05,2024-03-01
user_0179,2024-03-17,2024-04-16
user_0003,2024-02-19,2024-04-18
user_0143,2024-02-17,2024-02-25
user_0129,2024-06-08,2024-08-16
user_0128,2024-06-17,2024-06-21
user_0013,2024-01-05,2024-01-14
user_0194,2024-06-16,2024-06-19
user_0219,2024-01-29,2024-02-11
user_0095,2024-01-12,2024-01-09
user_0151,2024-06-29,2024-06-09
user_0058,2024-05-11,2024-06-03
user_0025,2024-06-22,2024-09-05
user_0046,2024-02-12,2024-03-12
user_0014,2024-02-05,2024-02-02
user_0099,2024-06-24,2024-10-19
user_0194,2024-06-16,2024-08-25
user_0245,2024-02-06,2024-02-10
user_0053,2024-02-18,2024-05-13
user_0240,2024-04-22,2024-06-28
user_0174,2024-05-22,2024-06-04
user_0223,2024-04-08,2024-04-18
user_0187,2024-06-04,2024-07-24
user_0150,2024-02-26,2024-03-15
user_0190,2024-03-22,2024-03-15
user_0010,2024-01-06,2024-02-11
user_0143,2024-02-17,2024-03-08
user_0169,2024-02-08,2024-02-25
user_0199,2024-06-29,2024-10-10
user_0034,2024-06-25,2024-07-11
user_0125,2024-01-01,2024-01-28
user_0099,2024-06-24,2024-07-18
user_0072,2024-06-19,2024-06-23
user_0217,2024-04-10,2024-05-28
user_0053,2024-02-18,2024-04-10
user_0198,2024-01-10,2024-02-12
user_0027,2024-01-17,2024-01-11
user_0119,2024-04-20,2024-06-08
user_0154,2024-04-03,2024-05-23
user_0024,2024-01-29,2024-01-12
user_0100,2024-06-04,2024-06-03
user_0111,2024-06-07,2024-09-20
user_0028,2024-01-18,2024-02-26
user_0154,2024-04-03,2024-04-25
user_0148,2024-05-12,2024-06-17
user_0071,2024-02-08,2024-06-06
user_0134,2024-06-20,2024-06-15
user_0025,2024-06-22,2024-10-08
user_0164,2024-06-12,2024-06-02
user_0229,2024-01-29,2024-02-24
user_0043,2024-02-11,2024-02-23
user_0172,2024-04-13,2024-04-15
user_0003,2024-02-19,2024-03-03
user_0005,2024-05-13,2024-05-23
user_0200,2024-05-31,2024-05-13
user_0165,2024-06-04,2024-08-27
user_0099,2024-06-24,2024-09-13
user_0005,2024-05-13,2024-08-26
user_0164,2024-06-12,2024-07-09
user_0076,2024-03-12,2024-05-27
user_0234,2024-05-02,2024-07-15
user_0237,2024-06-10,2024-07-28
user_0042,2024-01-09,2024-02-07
user_0195,2024-03-21,2024-03-17
user_0028,2024-01-18,2024-04-28
user_0020,2024-01-02,2024-03-02
user_0021,2024-05-25,2024-05-26
user_0069,2024-02-27,2024-02-23
user_0188,2024-02-15,2024-06-10
user_0014,2024-02-05,2024-05-25
user_0045,2024-01-15,2024-01-24
user_0249,2024-05-01,2024-05-26
user_0029,2024-06-02,2024-08-06
user_0049,2024-04-25,2024-04-17
user_0115,2024-06-14,2024-07-20
user_0090,2024-01-09,2024-01-01
user_0193,2024-02-15,2024-06-01
user_0206,2024-02-08,2024-04-15
user_0096,2024-03-10,2024-03-13
user_0235,2024-02-12,2024-06-28
user_0174,2024-05-22,2024-07-25
user_0103,2024-05-03,2024-06-15
user_0073,2024-06-07,2024-07-04
user_0208,2024-01-11,2024-01-15
user_0198,2024-01-10,2024-03-14
user_0118,2024-04-25,2024-05-13
user_0207,2024-03-13,2024-03-07
user_0137,2024-01-13,2024-01-16
user_0056,2024-04-20,2024-04-22
user_0175,2024-05-26,2024-05-07
user_0240,2024-04-22,2024-05-16
user_0191,2024-03-17,2024-05-11
user_0036,2024-04-09,2024-04-27
user_0019,2024-05-26,2024-08-12
user_0167,2024-02-13,2024-03-05
user_0121,2024-05-18,2024-06-20
user_0035,2024-03-09,2024-03-25
user_0135,2024-01-16,2024-03-11
user_0048,2024-02-20,2024-03-11
user_0067,2024-02-11,2024-02-23
user_0038,2024-04-21,2024-08-02
user_0189,2024-02-04,2024-03-17
user_0157,2024-03-02,2024-09-10
user_0131,2024-02-25,2024-02-28
user_0182,2024-05-01,2024-05-15
user_0052,2024-02-07,2024-03-22
user_0203,2024-06-02,2024-12-28
user_0003,2024-02-19,2024-05-07
user_0103,2024-05-03,2024-05-07
user_0238,2024-02-14,2024-03-28
user_0090,2024-01-09,2024-05-13
user_0150,2024-02-26,2024-02-23
user_0021,2024-05-25,2024-06-28
user_0089,2024-01-17,2024-02-19
user_0232,2024-02-03,2024-03-16
user_0207,2024-03-13,2024-06-05
user_0076,2024-03-12,2024-08-14
user_0168,2024-05-01,2024-07-08
user_0111,2024-06-07,2024-08-01
user_0224,2024-05-15,2024-06-18
user_0002,2024-01-05,2024-01-20
user_0159,2024-02-11,2024-02-23
user_0080,2024-02-14,2024-03-09
user_0017,2024-02-09,2024-03-18
user_0085,2024-03-13,2024-04-23
user_0005,2024-05-13,2024-07-20
user_0061,2024-06-28,2024-06-10
user_0198,2024-01-10,2024-05-11
user_0115,2024-06-14,2024-06-20
user_0184,2024-01-18,2024-04-26
user_0194,2024-06-16,2024-07-02
user_0192,2024-02-20,2024-02-01
user_0111,2024-06-07,2024-07-27
user_0213,2024-03-23,2024-07-14
user_0190,2024-03-22,2024-04-03
user_0234,2024-05-02,2024-09-17
user_0033,2024-04-07,2024-04-01
user_0079,2024-02-17,2024-02-25
user_0099,2024-06-24,2024-08-01
user_0114,2024-02-02,2024-03-25
user_0230,2024-06-22,2024-07-13
user_0038,2024-04-21,2024-04-09
user_0041,2024-05-07,2024-06-04
user_0171,2024-06-18,2024-07-17
user_0248,2024-03-12,2024-03-14
user_0161,2024-01-13,2024-01-18
user_0012,2024-04-01,2024-04-28
user_0163,2024-02-11,2024-03-16
user_0077,2024-06-14,2024-06-18
user_0093,2024-05-23,2024-08-24
user_0083,2024-04-15,2024-04-18
user_0094,2024-03-17,2024-03-20
user_0225,2024-01-11,2024-04-28
user_0184,2024-01-18,2024-03-22
user_0095,2024-01-12,2024-02-14
user_0045,2024-01-15,2024-02-24
user_0243,2024-04-04,2024-07-14
user_0059,2024-01-30,2024-01-21
user_0243,2024-04-04,2024-06-03
user_0205,2024-03-28,2024-03-12
user_0208,2024-01-11,2024-03-16
user_0091,2024-01-20,2024-01-12
user_0203,2024-06-02,2024-09-27
user_0165,2024-06-04,2024-07-04
user_0116,2024-06-06,2024-07-04
user_0212,2024-05-21,2024-06-04
user_0026,2024-03-01,2024-04-26
user_0246,2024-05-09,2024-08-02
user_0141,2024-03-27,2024-04-03
user_0035,2024-03-09,2024-04-09
user_0149,2024-02-06,2024-03-18
user_0234,2024-05-02,2024-05-28
user_0010,2024-01-06,2024-01-23
user_0129,2024-06-08,2024-09-15
user_0178,2024-03-19,2024-03-06
user_0048,2024-02-20,2024-02-20
user_0210,2024-06-27,2024-07-18
user_0001,2024-04-25,2024-05-03
user_0147,2024-04-07,2024-04-10
user_0009,2024-03-17,2024-03-05
user_0031,2024-05-26,2024-08-15
user_0118,2024-04-25,2024-08-03
user_0026,2024-03-01,2024-07-01
user_0071,2024-02-08,2024-04-14
user_0064,2024-05-03,2024-05-16
user_0184,2024-01-18,2024-02-19
user_0201,2024-06-24,2024-07-03
user_0193,2024-02-15,2024-04-19
user_0161,2024-01-13,2024-04-05
user_0032,2024-05-12,2024-05-26
user_0166,2024-01-13,2024-01-21
user_0215,2024-06-22,2024-06-05
user_0046,2024-02-12,2024-04-14
user_0243,2024-04-04,2024-05-24
user_0122,2024-04-07,2024-04-26
user_0004,2024-02-10,2024-03-12
user_0215,2024-06-22,2024-07-13
user_0201,2024-06-24,2024-06-15
user_0250,2024-02-24,2024-02-20
user_0219,2024-01-29,2024-03-26
user_0090,2024-01-09,2024-06-16
user_0041,2024-05-07,2024-05-17
user_0203,2024-06-02,2024-07-28
user_0119,2024-04-20,2024-04-27
user_0052,2024-02-07,2024-04-24
user_0165,2024-06-04,2024-10-13
user_0004,2024-02-10,2024-05-06
user_0236,2024-01-22,2024-04-09
user_0020,2024-01-02,2024-01-14
user_0078,2024-03-24,2024-03-15
user_0132,2024-01-11,2024-01-03
user_0048,2024-02-20,2024-06-04
user_0152,2024-04-27,2024-04-24
user_0065,2024-06-01,2024-08-15
user_0200,2024-05-31,2024-07-25
user_0073,2024-06-07,2024-06-28
user_0104,2024-04-07,2024-05-13
user_0170,2024-01-24,2024-02-26
user_0046,2024-02-12,2024-02-07
user_0050,2024-03-07,2024-03-10
user_0232,2024-02-03,2024-05-05
user_0019,2024-05-26,2024-07-27
user_0082,2024-02-17,2024-02-11
user_0040,2024-04-14,2024-04-26
user_0101,2024-01-03,2024-01-15
user_0185,2024-03-13,2024-08-05
user_0106,2024-04-26,2024-04-27
user_0130,2024-05-30,2024-06-19
user_0099,2024-06-24,2024-06-20
user_0071,2024-02-08,2024-02-04
user_0037,2024-05-30,2024-06-04
user_0116,2024-06-06,2024-12-04
user_0246,2024-05-09,2024-06-11
user_0193,2024-02-15,2024-07-25
user_0092,2024-04-23,2024-04-13
user_0088,2024-04-02,2024-05-27
user_0055,2024-04-27,2024-04-20
user_0126,2024-02-28,2024-03-14
user_0077,2024-06-14,2024-07-15
user_0212,2024-05-21,2024-08-27
user_0116,2024-06-06,2024-06-23
user_0054,2024-06-18,2024-07-10
user_0209,2024-03-09,2024-05-06
user_0058,2024-05-11,2024-07-10
user_0060,2024-03-09,2024-04-25
user_0171,2024-06-18,2024-06-25
user_0077,2024-06-14,2024-08-06
user_0072,2024-06-19,2024-07-17
user_0188,2024-02-15,2024-02-15
user_0125,2024-01-01,2024-02-14
user_0053,2024-02-18,2024-03-19
user_0186,2024-03-02,2024-04-05
user_0086,2024-02-09,2024-02-14
user_0080,2024-02-14,2024-02-08
user_0074,2024-02-26,2024-02-15
user_0076,2024-03-12,2024-07-17
user_0116,2024-06-06,2024-10-06
user_0212,2024-05-21,2024-07-21
user_0225,2024-01-11,2024-02-15
user_0199,2024-06-29,2024-09-16
user_0214,2024-03-17,2024-04-08
user_0194,2024-06-16,2024-09-25
user_0157,2024-03-02,2024-04-20
user_0239,2024-04-17,2024-05-21
user_0066,2024-05-20,2024-05-21
user_0228,2024-06-03,2024-06-25
user_0034,2024-06-25,2024-06-13
user_0088,2024-04-02,2024-04-07
user_0187,2024-06-04,2024-08-27
user_0110,2024-06-21,2024-08-25
user_0161,2024-01-13,2024-05-21
user_0193,2024-02-15,2024-05-19
user_0087,2024-06-29,2024-07-15
user_0035,2024-03-09,2024-06-21
user_0114,2024-02-02,2024-02-09
user_0225,2024-01-11,2024-01-13
user_0177,2024-01-18,2024-01-06
user_0144,2024-06-06,2024-08-16
user_0236,2024-01-22,2024-07-23
user_0019,2024-05-26,2024-09-19
user_0087,2024-06-29,2024-06-18
user_0157,2024-03-02,2024-06-04
user_0241,2024-03-16,2024-04-03
user_0249,2024-05-01,2024-07-06
user_0055,2024-04-27,2024-05-21
user_0096,2024-03-10,2024-04-11
user_0107,2024-01-21,2024-02-18
user_0243,2024-04-04,2024-08-04
user_0056,2024-04-20,2024-05-07
user_0105,2024-02-18,2024-02-27
user_0016,2024-04-08,2024-04-15
user_0246,2024-05-09,2024-05-02
user_0040,2024-04-14,2024-05-11
user_0007,2024-06-10,2024-07-04
user_0078,2024-03-24,2024-06-08
user_0038,2024-04-21,2024-06-19
user_0123,2024-05-20,2024-06-22
user_0062,2024-04-25,2024-04-07
user_0029,2024-06-02,2024-06-08
user_0019,2024-05-26,2024-06-02
user_0199,2024-06-29,2024-07-14
user_0030,2024-04-19,2024-06-28
user_0003,2024-02-19,2024-07-09
user_0010,2024-01-06,2024-03-07
user_0035,2024-03-09,2024-05-12
user_0038,2024-04-21,2024-07-09
user_0049,2024-04-25,2024-07-14
user_0127,2024-01-04,2024-02-23
user_0083,2024-04-15,2024-05-03
user_0009,2024-03-17,2024-04-09
user_0111,2024-06-07,2024-11-08
user_0213,2024-03-23,2024-06-09
user_0020,2024-01-02,2024-02-05
user_0055,2024-04-27,2024-07-15
user_0221,2024-06-24,2024-06-10
user_0226,2024-04-15,2024-04-23
user_0119,2024-04-20,2024-05-21
user_0018,2024-04-16,2024-04-23
user_0030,2024-04-19,2024-05-13
user_0244,2024-06-18,2024-07-04
user_0210,2024-06-27,2024-06-01
user_0011,2024-02-09,2024-02-28
user_0188,2024-02-15,2024-04-15
user_0173,2024-03-26,2024-06-20
user_0011,2024-02-09,2024-04-17
user_0127,2024-01-04,2024-03-05
user_0024,2024-01-29,2024-03-18
user_0165,2024-06-04,2024-06-16
user_0154,2024-04-03,2024-06-06
user_0235,2024-02-12,2024-03-24
user_0219,2024-01-29,2024-01-14
user_0124,2024-04-05,2024-05-21
user_0147,2024-04-07,2024-06-19
user_0181,2024-05-11,2024-05-10
user_0090,2024-01-09,2024-02-28
user_0185,2024-03-13,2024-05-18
user_0168,2024-05-01,2024-06-03
user_0220,2024-02-23,2024-02-01
user_0117,2024-02-24,2024-04-22
user_0247,2024-02-13,2024-02-14
user_0081,2024-04-11,2024-05-10
user_0217,2024-04-10,2024-04-05
user_0116,2024-06-06,2024-08-25
user_0006,2024-05-02,2024-06-22
user_0167,2024-02-13,2024-02-05
user_0126,2024-02-28,2024-02-04
user_0076,2024-03-12,2024-04-20
user_0180,2024-03-25,2024-03-08
user_0049,2024-04-25,2024-08-11
user_0078,2024-03-24,2024-07-27
user_0241,2024-03-16,2024-03-20
user_0235,2024-02-12,2024-05-14
user_0233,2024-04-17,2024-04-19
user_0196,2024-06-04,2024-08-19
user_0206,2024-02-08,2024-03-21
user_0089,2024-01-17,2024-01-25
user_0161,2024-01-13,2024-07-25
user_0122,2024-04-07,2024-06-26
user_0071,2024-02-08,2024-03-25
user_0213,2024-03-23,2024-05-23
user_0213,2024-03-23,2024-03-10
user_0191,2024-03-17,2024-03-14
user_0110,2024-06-21,2024-06-21
user_0006,2024-05-02,2024-05-01
user_0063,2024-04-10,2024-04-02
user_0161,2024-01-13,2024-03-23
user_0234,2024-05-02,2024-06-28
user_0066,2024-05-20,2024-06-19
user_0126,2024-02-28,2024-04-12
user_0076,2024-03-12,2024-03-15
user_0186,2024-03-02,2024-07-06
user_0211,2024-02-18,2024-03-27
user_0102,2024-05-10,2024-05-09
user_0193,2024-02-15,2024-03-28
user_0048,2024-02-20,2024-05-28
user_0129,2024-06-08,2024-07-25
user_0236,2024-01-22,2024-01-03
user_0192,2024-02-20,2024-03-03
user_0073,2024-06-07,2024-08-15
user_0051,2024-03-08,2024-03-14
user_0165,2024-06-04,2024-09-03
user_0188,2024-02-15,2024-03-04
user_0054,2024-06-18,2024-09-14
user_0225,2024-01-11,2024-03-11
user_0003,2024-02-19,2024-09-12
user_0104,2024-04-07,2024-04-25
user_0034,2024-06-25,2024-08-09
user_0078,2024-03-24,2024-05-25
user_0246,2024-05-09,2024-09-10
user_0208,2024-01-11,2024-05-01
user_0236,2024-01-22,2024-05-11
user_0203,2024-06-02,2024-11-22
user_0235,2024-02-12,2024-04-05
user_0127,2024-01-04,2024-04-14
user_0028,2024-01-18,2024-01-14
user_0028,2024-01-18,2024-03-22
user_0100,2024-06-04,2024-07-21
user_0054,2024-06-18,2024-06-10
user_0198,2024-01-10,2024-07-04
user_0236,2024-01-22,2024-02-16
user_0186,2024-03-02,2024-06-02
user_0213,2024-03-23,2024-04-17
user_0185,2024-03-13,2024-04-04
user_0097,2024-06-29,2024-07-13
user_0146,2024-02-08,2024-02-13
user_0124,2024-04-05,2024-04-17
user_0054,2024-06-18,2024-08-07
user_0117,2024-02-24,2024-03-19
user_0072,2024-06-19,2024-09-02
user_0222,2024-04-14,2024-07-28
user_0135,2024-01-16,2024-02-13
user_0093,2024-05-23,2024-07-18
user_0031,2024-05-26,2024-06-07
user_0231,2024-01-15,2024-01-22
user_0165,2024-06-04,2024-11-16
user_0112,2024-02-17,2024-02-22
user_0060,2024-03-09,2024-03-27
user_0227,2024-04-01,2024-04-13
user_0235,2024-02-12,2024-07-21
user_0055,2024-04-27,2024-06-11
user_0140,2024-01-24,2024-01-09
user_0153,2024-03-20,2024-03-04
user_0110,2024-06-21,2024-07-02
user_0047,2024-01-19,2024-01-22
user_0006,2024-05-02,2024-07-27
user_0111,2024-06-07,2024-06-07
user_0187,2024-06-04,2024-06-20
user_0145,2024-03-17,2024-03-01
user_0007,2024-06-10,2024-08-05
user_0075,2024-04-28,2024-05-20
user_0025,2024-06-22,2024-06-14
user_0004,2024-02-10,2024-06-15
user_0186,2024-03-02,2024-03-27
user_0116,2024-06-06,2024-09-27
user_0128,2024-06-17,2024-08-20
user_0008,2024-01-16,2024-01-04
user_0224,2024-05-15,2024-05-11
user_0015,2024-04-27,2024-04-09
user_0193,2024-02-15,2024-08-22
user_0199,2024-06-29,2024-06-11
user_0239,2024-04-17,2024-04-11
user_0212,2024-05-21,2024-09-05
user_0182,2024-05-01,2024-07-22
user_0156,2024-02-10,2024-03-19
user_0026,2024-03-01,2024-05-06
user_0207,2024-03-13,2024-05-18
user_0184,2024-01-18,2024-01-21
user_0171,2024-06-18,2024-08-13
user_0100,2024-06-04,2024-08-14
user_0078,2024-03-24,2024-04-09
user_0122,2024-04-07,2024-05-19
user_0198,2024-01-10,2024-06-22
user_0121,2024-05-18,2024-05-22
user_0204,2024-01-31,2024-01-14
user_0123,2024-05-20,2024-05-14
user_0003,2024-02-19,2024-06-17
user_0157,2024-03-02,2024-08-07
user_0052,2024-02-07,2024-02-13
user_0031,2024-05-26,2024-05-08
user_0188,2024-02-15,2024-05-23
user_0196,2024-06-04,2024-06-09
user_0079,2024-02-17,2024-04-17
user_0219,2024-01-29,2024-04-17
user_0212,2024-05-21,2024-10-16
user_0160,2024-02-09,2024-02-02
user_0192,2024-02-20,2024-04-08
user_0097,2024-06-29,2024-06-26
user_0186,2024-03-02,2024-05-03
user_0140,2024-01-24,2024-02-18
user_0097,2024-06-29,2024-08-24
user_0108,2024-03-19,2024-03-12
user_0068,2024-01-06,2024-01-13
user_0110,2024-06-21,2024-09-01
user_0157,2024-03-02,2024-05-10
user_0198,2024-01-10,2024-01-16
user_0222,2024-04-14,2024-04-19
user_0048,2024-02-20,2024-04-22
user_0053,2024-02-18,2024-02-20
user_0244,2024-06-18,2024-06-28
user_0026,2024-03-01,2024-06-14
user_0090,2024-01-09,2024-03-25
user_0012,2024-04-01,2024-05-02
